module	package	prod_classname	prod_status	test_classname	test_status	test_java_path	prod_java_path
core	org.apache.lucene.index	AutomatonTermsEnum	IMPLEMENTED				core/src/java/org/apache/lucene/index/AutomatonTermsEnum.java
core	org.apache.lucene.index	LogByteSizeMergePolicy	IMPLEMENTED				core/src/java/org/apache/lucene/index/LogByteSizeMergePolicy.java
core	org.apache.lucene.index	CompositeReaderContext	IMPLEMENTED				core/src/java/org/apache/lucene/index/CompositeReaderContext.java
core	org.apache.lucene.index	SingletonSortedNumericDocValues	MISSING				core/src/java/org/apache/lucene/index/SingletonSortedNumericDocValues.java
core	org.apache.lucene.index	IndexDeletionPolicy	IMPLEMENTED				core/src/java/org/apache/lucene/index/IndexDeletionPolicy.java
core	org.apache.lucene.index	Impacts	IMPLEMENTED				core/src/java/org/apache/lucene/index/Impacts.java
core	org.apache.lucene.index	SortingTermVectorsConsumer	MISSING				core/src/java/org/apache/lucene/index/SortingTermVectorsConsumer.java
core	org.apache.lucene.index	ApproximatePriorityQueue	MISSING	TestApproximatePriorityQueue	MISSING	core/src/test/org/apache/lucene/index/TestApproximatePriorityQueue.java	core/src/java/org/apache/lucene/index/ApproximatePriorityQueue.java
core	org.apache.lucene.index	IndexReader	IMPLEMENTED				core/src/java/org/apache/lucene/index/IndexReader.java
core	org.apache.lucene.index	SlowImpactsEnum	IMPLEMENTED				core/src/java/org/apache/lucene/index/SlowImpactsEnum.java
core	org.apache.lucene.index	SortedNumericDocValuesWriter	MISSING				core/src/java/org/apache/lucene/index/SortedNumericDocValuesWriter.java
core	org.apache.lucene.index	SortingCodecReader	IMPLEMENTED	TestSortingCodecReader	MISSING	core/src/test/org/apache/lucene/index/TestSortingCodecReader.java	core/src/java/org/apache/lucene/index/SortingCodecReader.java
core	org.apache.lucene.index	MergeRateLimiter	IMPLEMENTED	TestMergeRateLimiter	MISSING	core/src/test/org/apache/lucene/index/TestMergeRateLimiter.java	core/src/java/org/apache/lucene/index/MergeRateLimiter.java
core	org.apache.lucene.index	OrdinalMap	IMPLEMENTED	TestOrdinalMap	MISSING	core/src/test/org/apache/lucene/index/TestOrdinalMap.java	core/src/java/org/apache/lucene/index/OrdinalMap.java
core	org.apache.lucene.index	PointValues	IMPLEMENTED	TestPointValues	MISSING	core/src/test/org/apache/lucene/index/TestPointValues.java	core/src/java/org/apache/lucene/index/PointValues.java
core	org.apache.lucene.index	SingleTermsEnum	IMPLEMENTED				core/src/java/org/apache/lucene/index/SingleTermsEnum.java
core	org.apache.lucene.index	SortedNumericDocValues	IMPLEMENTED				core/src/java/org/apache/lucene/index/SortedNumericDocValues.java
core	org.apache.lucene.index	ImpactsSource	IMPLEMENTED				core/src/java/org/apache/lucene/index/ImpactsSource.java
core	org.apache.lucene.index	TermsEnumIndex	MISSING	TestTermsEnumIndex	MISSING	core/src/test/org/apache/lucene/index/TestTermsEnumIndex.java	core/src/java/org/apache/lucene/index/TermsEnumIndex.java
core	org.apache.lucene.index	MultiTerms	IMPLEMENTED				core/src/java/org/apache/lucene/index/MultiTerms.java
core	org.apache.lucene.index	DocumentsWriterPerThreadPool	MISSING	TestDocumentsWriterPerThreadPool	MISSING	core/src/test/org/apache/lucene/index/TestDocumentsWriterPerThreadPool.java	core/src/java/org/apache/lucene/index/DocumentsWriterPerThreadPool.java
core	org.apache.lucene.index	NoMergeScheduler	IMPLEMENTED	TestNoMergeScheduler	MISSING	core/src/test/org/apache/lucene/index/TestNoMergeScheduler.java	core/src/java/org/apache/lucene/index/NoMergeScheduler.java
core	org.apache.lucene.index	IndexFormatTooNewException	IMPLEMENTED				core/src/java/org/apache/lucene/index/IndexFormatTooNewException.java
