module	kind	java_path	package	classname	fqdn	java_loc	go_basename_guess	go_match_path	status	go_loc	go_stub_score
core	prod	core/src/java/org/apache/lucene/search/LateInteractionRescorer.java	org.apache.lucene.search	LateInteractionRescorer	org.apache.lucene.search.LateInteractionRescorer	90	late_interaction_rescorer	search/late_interaction_rescorer.go	IMPLEMENTED	76	0
core	prod	core/src/java/org/apache/lucene/search/SynonymQuery.java	org.apache.lucene.search	SynonymQuery	org.apache.lucene.search.SynonymQuery	722	synonym_query	search/synonym_query.go	IMPLEMENTED	181	0
core	prod	core/src/java/org/apache/lucene/search/AbstractMultiTermQueryConstantScoreWrapper.java	org.apache.lucene.search	AbstractMultiTermQueryConstantScoreWrapper	org.apache.lucene.search.AbstractMultiTermQueryConstantScoreWrapper	352	abstract_multi_term_query_constant_score_wrapper		MISSING	0	0
core	prod	core/src/java/org/apache/lucene/search/BooleanQuery.java	org.apache.lucene.search	BooleanQuery	org.apache.lucene.search.BooleanQuery	754	boolean_query	search/boolean_query.go	IMPLEMENTED	223	0
core	prod	core/src/java/org/apache/lucene/search/BulkScorer.java	org.apache.lucene.search	BulkScorer	org.apache.lucene.search.BulkScorer	81	bulk_scorer	search/bulk_scorer.go	IMPLEMENTED	40	0
core	prod	core/src/java/org/apache/lucene/search/TermQuery.java	org.apache.lucene.search	TermQuery	org.apache.lucene.search.TermQuery	350	term_query	search/term_query.go	IMPLEMENTED	57	0
core	prod	core/src/java/org/apache/lucene/search/TotalHitCountCollectorManager.java	org.apache.lucene.search	TotalHitCountCollectorManager	org.apache.lucene.search.TotalHitCountCollectorManager	146	total_hit_count_collector_manager	search/total_hit_count_collector_manager.go	IMPLEMENTED	32	0
core	prod	core/src/java/org/apache/lucene/search/ConstantScoreScorer.java	org.apache.lucene.search	ConstantScoreScorer	org.apache.lucene.search.ConstantScoreScorer	166	constant_score_scorer		MISSING	0	0
core	prod	core/src/java/org/apache/lucene/search/UsageTrackingQueryCachingPolicy.java	org.apache.lucene.search	UsageTrackingQueryCachingPolicy	org.apache.lucene.search.UsageTrackingQueryCachingPolicy	183	usage_tracking_query_caching_policy	search/query_cache.go	IMPLEMENTED	128	0
core	prod	core/src/java/org/apache/lucene/search/Explanation.java	org.apache.lucene.search	Explanation	org.apache.lucene.search.Explanation	140	explanation	search/explanation.go	IMPLEMENTED	75	0
